index,pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,Grade
244,6.5,38,1,0,1,0,255,medium
824,6.8,45,0,0,0,1,255,medium
602,5.6,50,0,1,1,1,255,low
347,8.6,55,0,1,1,1,255,low
753,6.6,38,0,0,0,0,255,medium
361,8.5,70,0,0,0,0,246,low
901,6.8,45,0,0,0,1,255,medium
192,6.5,38,1,0,1,0,255,medium
515,9.5,34,1,1,0,1,255,low
820,6.7,38,1,0,1,0,255,high
580,3.0,40,1,1,1,1,255,low
462,5.5,45,1,0,1,1,250,low
697,6.5,37,0,0,0,0,245,medium
631,6.8,43,1,0,1,0,250,high
734,6.7,45,1,1,1,0,245,medium
614,6.8,38,0,0,0,0,255,medium
242,3.0,40,1,0,0,0,255,low
803,6.5,36,0,0,1,0,255,medium
535,6.8,38,0,0,0,0,255,medium
52,4.5,60,0,1,1,1,250,low
1036,6.8,40,1,1,1,1,255,high
960,3.0,40,1,0,0,0,255,low
262,8.5,70,0,0,0,0,246,low
62,3.0,40,1,1,1,1,255,low
1045,6.5,36,0,0,0,0,247,medium
998,6.6,43,0,0,0,1,250,medium
305,6.5,36,0,0,0,0,247,medium
448,6.6,45,0,1,1,1,250,high
414,9.5,34,1,1,0,1,255,low
929,6.5,36,0,0,0,0,247,medium
575,6.6,38,0,0,0,0,255,medium
281,6.5,37,0,0,0,0,255,medium
272,9.0,43,1,1,1,1,248,low
1016,3.0,40,1,1,1,1,255,low
31,6.5,40,0,1,0,1,250,low
818,9.0,43,1,1,1,1,248,low
268,6.5,35,1,0,1,0,246,medium
550,6.7,38,1,0,1,0,255,high
988,6.8,34,0,0,0,1,240,medium
311,5.5,45,1,0,1,1,250,low
980,6.8,40,1,0,1,0,245,medium
759,4.5,60,0,1,1,1,250,low
689,6.6,45,0,1,1,1,250,high
470,6.8,50,0,0,1,0,255,low
323,9.0,43,1,0,1,1,250,low
851,6.8,41,0,0,1,0,255,medium
493,4.5,38,0,1,1,1,255,low
932,9.5,34,1,1,0,1,255,low
303,6.8,40,1,1,1,1,255,high
273,6.8,40,1,1,1,1,255,high
411,6.5,36,0,0,0,0,247,medium
756,6.5,37,0,0,0,0,255,medium
117,3.0,40,1,1,1,1,255,low
35,6.8,45,0,1,1,1,255,high
175,6.8,40,1,1,1,1,255,high
181,6.5,37,0,0,0,0,255,medium
137,6.6,37,1,0,1,0,255,high
96,9.5,34,1,1,0,1,255,low
955,6.8,45,0,1,0,0,240,medium
758,5.5,45,1,0,1,1,250,low
58,7.4,90,1,0,1,1,255,low
468,6.6,35,0,1,1,1,255,high
891,6.6,37,1,0,1,0,255,high
1048,9.5,34,1,1,0,1,255,low
1046,6.6,38,0,0,0,0,255,medium
